Id,X1,y
1170,Bericht des Stadtrats über seine Legislaturziele 2021 – 2024,6
1171,"St.Georgen-Strasse, Wiesenstrasse bis Bubenbergweg; Neugestaltung",16
1172,"St.Gallen – Bildweiherstrasse; Erneuerung der Wasser- und der Erdgasmitteldruckleitung und Neubau der erhöhten Erdgas-Niederdruckleitung in der Bildweiherstrasse, Abschnitt Kräzernstrasse bis Mövenstrasse; Verpflichtungskredit",10
1173,Teilrevision Polizeireglement; Nachtrag I,15
1174,"Turnerstrasse, Instandstellung und Neugestaltung von der Krügerstrasse bis zur Schillerstrasse",16
1175,Gründung einer Stiftung zur Zeitvorsorge,7
1176,"Primarschule Riethüsli, Neubau der Schulanlage; Planungs- und Ausführungskredit",5
1177,"Liegenschaft Auf dem Damm 4, St.Gallen; Teilsanierung",2
1178,Neubau der Erdgas-Mitteldruckleitung sowie Sanierung der Erdgas-Niederdruckleitung in der Vonwil-/Tschudistrasse; Zschokkestrasse bis Tschudistrasse Nr. 68,10
1179,Erschliessung Schuppis; Strassenverlängerung mit Wasser- und Kanalisationsleitungen,16
1180,"""Ein guter Start für alle"" - Frühe Förderung ab Geburt bis zum Kindergarten",7
1181,Umbau und Sanierung von Verkaufsstelle und Personalaufenthaltsräumen im Pavillon beim Bahnhofplatz; Erteilung eines Verpflichtungskredites,14
1182,Erneuerung der Rotlichtüberwachung,13
1183,"Konzept Frühförderung und Einschulung: Projekt ""Vom Kindergarten in die Schule, KidS""",5
1184,Geschäftsbericht 2016 der St.Galler Stadtwerke,10
1185,Erlass eines Reglements über die Videoüberwachung im Umfeld der Arena St.Gallen,15
1186,Schulanlage Gerhalden; Innensanierung und Neubau Turnhalle,5
1187,Erwerb eines Gebäudes in der Überbauung Birnbäumen III und Nutzung für schulische Bedürfnisse,5
1188,Sanierung Wohnhaus Brauerstrasse 71; Erteilung eines Zusatzkredites zur Bauabrechnung,2
1189,"Bogenstrasse, ÖV-Eigentrassierung und Erneuerung der Elektrizitätsversorgungen; Zusatzkredit für projektbedingte Mehrkosten",16
1190,"Hallenbad Blumenwies: Sanierung und Erweiterung, Wettbewerbsverfahren und Vorprojekt mit Kostenermittlung",8
1191,Baubeitrag für den Umbau des Pflege- und Betagtenheims Josefshaus und den Neubau des Betagten- und Pflegeheims Marthaheim an der Kreuzackerstrasse,7
1192,Quartierentwicklung in der Stadt St.Gallen Konzept,16
1193,Ersatzwahl in den Schulrat (anstelle von Brigitte Riegg),5
1194,"Zonenplanänderung Demutstrasse / Neststrasse für das Projekt ""Betreutes Wohnen und Spitex im Riethüsli""",16
1195,Liegenschaft Feldbachstrasse 3; Gesamtsanierung,2
1196,Neufassung des Reglements über Ruhetag und Ladenöffnung,6
1197,"St.Gallen - Rorschacherstrasse; Erneuerung der Wassertransportleitung sowie der Wasserverteilleitung und der Erdgasniederdruckleitung in der Rorschacherstrasse, Abschnitt Buchentalstrasse bis Grütlistrasse sowie der Erneuerung der Erdgas-Mitteldruckleitung in der Grütlistrasse, Abschnitt Rorschacherstrasse bis Scheidwegstrasse 22",10
1198,"Anschluss von städtischen Gebäuden im Verwaltungsvermögen an das Fernwärmenetz, Erteilung eines Rahmenkredites",10
1199,"Überbauungsplan, öffentlicher Verkehr und unentgeltliche Bodenabtretung für das Stadion / Einkaufszentrum West",16
1200,Erschliessung des Neubaugebietes Sturzenegg,16
1201,Wohnüberbauung Laderen; Überbauungsplan und Erschliessung,16
1202,Neubau VBSG-Busdepot; Studienauftrag,14
1203,Umbau und Sanierung des Wohnheimes für Kinder und Jugendliche Riederenholz,7
